;PC1;PC2;PC3;PC4;PC5;PC6;Campaign;Date
0;1.409412289;3.190478828;1.125610171;-0.684638846;0.061352131;-0.199529201;BR-LW;2020-09-23 11:25:00
1;2.483362333;3.188627702;1.604959936;-0.100119854;0.271871584;-0.178456836;BR-LW;2020-09-23 11:25:15
2;0.794208442;3.049736957;1.120313522;-0.755882549;-0.013793956;-0.140685711;BR-LW;2020-09-23 11:25:30
3;-1.308681653;1.878454744;3.561680469;0.433193789;0.291727089;-0.396612037;BR-LW;2020-09-23 11:25:45
4;-0.771966664;2.227103642;2.63438933;-0.019237825;0.061880953;-0.159214663;BR-LW;2020-09-23 11:26:00
5;0.269790172;2.926868257;0.345878522;-1.268748041;-0.404353278;0.160602306;BR-LW;2020-09-23 11:26:15
6;-0.568359039;2.698962974;0.853028854;-1.111942978;-0.321497362;0.214478864;BR-LW;2020-09-23 11:26:30
7;-2.532704911;1.910244157;0.673310296;-1.553533531;-0.558685535;0.001978704;BR-LW;2020-09-23 11:26:45
8;0.094192664;2.9408042;-0.220021725;-1.692077768;-0.489550874;0.084250277;BR-LW;2020-09-23 11:27:00
9;-0.839851651;2.310005059;0.225312271;-1.488439588;-0.54472644;0.087760733;BR-LW;2020-09-23 11:27:15
10;-1.134757544;2.37150032;0.54529488;-1.393566007;-0.470898593;0.045004017;BR-LW;2020-09-23 11:27:30
11;-0.036432366;2.636104304;1.50715768;-0.712944716;-0.098227883;-0.26584901;BR-LW;2020-09-23 11:27:45
12;0.933665024;2.567110987;0.337699477;-1.198549048;-0.402451476;-0.207524446;BR-LW;2020-09-23 11:28:00
13;1.801885873;3.480591928;0.904187203;-0.772801015;-0.08546608;0.025305906;BR-LW;2020-09-23 11:28:15
14;0.735346527;2.779181082;2.679273129;0.126361563;0.254265762;-0.359347897;BR-LW;2020-09-23 11:28:30
15;2.302973395;3.464681841;-0.19281375;-1.263672741;-0.294618304;0.021685281;BR-LW;2020-09-23 11:29:00
16;0.896879008;3.056824229;-0.26123489;-1.518359871;-0.461171077;0.090114042;BR-LW;2020-09-23 11:29:15
17;1.139932092;3.032276431;2.151521476;-0.114831706;0.207011033;-0.276874181;BR-LW;2020-09-23 11:29:30
18;1.186986897;3.148720873;-0.177373935;-1.525532026;-0.366983408;-0.081701482;BR-LW;2020-09-23 11:29:45
19;0.561432746;2.630746353;4.95445814;1.460338427;0.813088002;-0.491898705;BR-LW;2020-09-23 11:30:00
20;1.382250172;3.019875469;0.632381082;-0.928067587;-0.081829664;-0.08062202;BR-LW;2020-09-23 11:30:15
21;1.237567761;3.225455732;0.852149272;-0.909597701;-0.028266542;-0.193949105;BR-LW;2020-09-23 11:30:30
22;1.401705825;3.476940651;0.821953773;-0.876381698;-0.056920492;0.060762395;BR-LW;2020-09-23 11:30:45
23;0.191372328;2.449527501;3.664725841;0.68142185;0.518932293;-0.392759412;BR-LW;2020-09-23 11:31:00
24;1.379314798;3.318760752;-0.011793861;-1.319454944;-0.273915737;0.098107721;BR-LW;2020-09-23 11:31:15
25;0.711286759;3.035606775;2.269277609;-0.103929207;0.222413853;-0.031982321;BR-LW;2020-09-23 11:31:30
26;1.278598162;3.344386631;1.05253854;-0.639696752;-0.060662509;0.283425279;BR-LW;2020-09-23 11:31:45
27;0.747811479;2.601434183;4.432301935;1.307041157;0.692521335;-0.231200981;BR-LW;2020-09-23 11:32:00
28;0.963052998;2.633170372;2.252640906;0.027159667;0.229713252;-0.22604246;BR-LW;2020-09-23 11:32:15
29;1.223159525;2.806206607;2.955547633;0.48806393;0.397817815;-0.193079525;BR-LW;2020-09-23 11:32:30
30;1.023157;2.110667929;3.900276383;1.481439614;0.462934029;0.482892315;BR-LW;2020-09-23 11:32:45
31;1.018881917;3.01290561;3.56579445;0.91202228;0.474854474;0.239444993;BR-LW;2020-09-23 11:33:00
32;1.5794298;3.573103983;-0.221681867;-1.340896081;-0.33598621;0.487370192;BR-LW;2020-09-23 11:33:15
33;1.39321238;3.110943008;1.470645296;-0.548617038;0.144084645;-0.228921084;BR-LW;2020-09-23 11:33:30
34;1.273535323;3.168440628;0.750168978;-0.908330615;-0.065939461;-0.003096724;BR-LW;2020-09-23 11:33:45
35;1.697548144;3.73687318;0.199693941;-1.143339123;-0.129494479;0.358989575;BR-LW;2020-09-23 11:34:00
36;1.490482001;3.451393901;1.575659278;-0.289674089;0.141223921;0.299546542;BR-LW;2020-09-23 11:34:15
37;1.277175694;3.162813883;2.948455219;0.445327181;0.483639574;0.067656274;BR-LW;2020-09-23 11:34:30
38;1.609053829;3.818895256;0.218786763;-1.158615501;-0.120960013;0.586826314;BR-LW;2020-09-23 11:34:45
39;-2.200486949;1.769723091;0.268020608;-0.050820699;0.219572109;-0.441511661;KAA-LW;2020-09-23 14:42:15
40;-1.695021326;2.186500098;0.231878987;0.02725721;0.197975032;-0.107661793;KAA-LW;2020-09-23 14:42:30
41;-2.236465165;1.78938886;0.571126252;0.11307176;0.284852689;-0.553570477;KAA-LW;2020-09-23 14:42:45
42;-2.234525988;1.604713288;0.796795735;0.385616882;0.211418843;-0.210050229;KAA-LW;2020-09-23 14:43:00
43;-1.761477915;1.802416892;0.308123529;0.040712745;0.26297493;-0.597854661;KAA-LW;2020-09-23 14:43:15
44;-1.924201625;1.790384063;0.471486714;0.061243573;0.308856473;-0.682977077;KAA-LW;2020-09-23 14:43:30
